Algorithm name,Ciphertext length,Time w/o key,Time for key,Time w/ key
run_ioc_analysis,5000,0.08383068,0.2565605,0.34039118
run_ioc_analysis,10000,0.18584968,0.56662784,0.75247752
run_ioc_analysis,15000,0.30905838,0.89481655,1.20387493
run_ioc_analysis,20000,0.42496222,1.2620543,1.68701652
run_ioc_analysis,25000,0.5590567,1.58240616,2.14146286
run_ioc_analysis,30000,0.71179335,1.94233395,2.6541273
run_ioc_analysis,35000,0.87998363,2.32815808,3.20814171
run_ioc_analysis,40000,1.18167459,2.88987751,4.0715521
run_ioc_analysis,45000,1.2602374,3.11859483,4.37883223
run_ioc_analysis,50000,1.54115525,3.64374366,5.18489891
run_ioc_analysis,55000,1.6988137,3.95122683,5.65004053
run_ioc_analysis,60000,1.92874749,4.51938858,6.44813607
run_ioc_analysis,65000,2.25834904,4.82938815,7.08773719
run_ioc_analysis,70000,2.46071113,5.48759923,7.94831036
run_ioc_analysis,75000,2.6650531,5.50011963,8.16517273
run_ioc_analysis,80000,2.9429261,5.95581896,8.89874506
run_ioc_analysis,85000,3.23784014,6.4100326,9.64787274
run_ioc_analysis,90000,3.53469578,6.86450527,10.39920105
run_ioc_analysis,95000,3.86808402,7.34838817,11.21647219
,,,,
run_shifted_text_analysis,5000,0.01482673,0.24615341,0.26098014
run_shifted_text_analysis,10000,0.02976863,0.54237359,0.57214222
run_shifted_text_analysis,15000,0.04453796,0.87420538,0.91874334
run_shifted_text_analysis,20000,0.05930288,1.20938129,1.26868417
run_shifted_text_analysis,25000,0.07445368,1.55589295,1.63034663
run_shifted_text_analysis,30000,0.08885133,1.91124113,2.00009246
run_shifted_text_analysis,35000,0.10336966,2.27597943,2.37934909
run_shifted_text_analysis,40000,0.11817013,2.64233155,2.76050168
run_shifted_text_analysis,45000,0.13371505,3.02596105,3.1596761
run_shifted_text_analysis,50000,0.14765579,3.41940819,3.56706398
run_shifted_text_analysis,55000,0.16227749,3.81311346,3.97539095
run_shifted_text_analysis,60000,0.17832968,4.21677327,4.39510295
run_shifted_text_analysis,65000,0.19268578,4.63943043,4.83211621
run_shifted_text_analysis,70000,0.20710247,5.05487502,5.26197749
run_shifted_text_analysis,75000,0.22205504,5.49390854,5.71596358
run_shifted_text_analysis,80000,0.23707883,5.93632284,6.17340167
run_shifted_text_analysis,85000,0.25548473,6.43163971,6.68712444
run_shifted_text_analysis,90000,0.27426798,6.9060451,7.18031308
run_shifted_text_analysis,95000,0.28036902,7.3492566,7.62962562
,,,,
run_kasiski_examination,5000,0.04986854,0.24940136,0.2992699
run_kasiski_examination,10000,0.21339192,0.54458394,0.75797586
run_kasiski_examination,15000,0.49742351,0.87703741,1.37446092
run_kasiski_examination,20000,0.96437721,1.20596592,2.17034313
run_kasiski_examination,25000,1.64757506,1.58383677,3.23141183
run_kasiski_examination,30000,2.4228008,1.90718969,4.32999049
run_kasiski_examination,35000,3.4069321,2.27412824,5.68106034
run_kasiski_examination,40000,4.56832735,2.63866322,7.20699057
run_kasiski_examination,45000,5.98670505,3.02007538,9.00678043
run_kasiski_examination,50000,7.67186789,3.42024456,11.09211245
run_kasiski_examination,55000,9.31855385,3.79659758,13.11515143
run_kasiski_examination,60000,11.51468646,4.21270536,15.72739182
run_kasiski_examination,65000,14.05652075,4.62968521,18.68620596
run_kasiski_examination,70000,16.96137532,5.06481096,22.02618628
run_kasiski_examination,75000,20.58789171,5.50004158,26.08793329
run_kasiski_examination,80000,23.99465079,5.97076188,29.96541267
run_kasiski_examination,85000,27.8561449,6.43457901,34.29072391
run_kasiski_examination,90000,32.11363453,6.88046993,38.99410446
run_kasiski_examination,95000,36.64636496,7.35085625,43.99722121
